X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
GrowthPattern_binary,S-100,0.07670104813381337,-0.2034881599786898,0.3561283393290216,-0.00021432280615063927,-0.02292119420149039,0.020042250773463655,0.07691537093996402,-0.20177570413490892,0.35984154760914816,-0.00279426176519426,0.9874686716791979,433,1995,1.0,False
GrowthPattern_binary,SMA,0.0821897779539895,-0.20476630984906233,0.3684845437772858,-0.035351859414554064,-0.10430930764586271,0.013510390867021148,0.11754163736854358,-0.16619994746917907,0.3972214182584224,-0.4301247709215654,0.17,433,2000,1.0,False
GrowthPattern_binary,KI_67,0.10287918816096285,-0.23330277221856816,0.4513543480417567,0.088173730796564,-0.08652489559093614,0.27390830038198044,0.01470545736439885,-0.2770078848162325,0.3327570855750421,0.8570609116647483,0.318,433,2000,1.0,False
EUS_type_binary,CD34,-0.16233534929069748,-0.4222410468087896,0.036819290362281265,0.022266940700924377,-0.0716791191778981,0.16589674645984112,-0.18460228999162182,-0.4334208916561572,0.0,-0.1371663091139224,0.9400444115470022,433,1351,1.0,False
EUS_type_binary,CD117,-0.06954028695677789,-0.30183650201516377,0.10342222227196017,0.005258470660542467,-0.09476960652795681,0.11112128627735447,-0.07479875761732035,-0.2792122188045844,0.07053457914852647,-0.07561761520786965,1.0,433,1448,1.0,False
EUS_type_binary,PDGFR-α,-0.23015320529732608,-0.4292611662002287,-0.010467294211575133,0.00380707795882308,-0.014186217427640258,0.03307848955149498,-0.23396028325614918,-0.4348087557602218,-0.021422248125488735,-0.016541494409799167,0.7965931863727455,433,1996,1.0,False
EUS_type_binary,Dog-1,-0.22760670332729616,-0.41939742602786495,-0.020481207065690527,0.005388308244249681,-0.016582696759919975,0.03890129527133529,-0.23299501157154584,-0.4232095121286966,-0.025175120236463733,-0.023673767799805737,0.7267267267267268,433,1998,1.0,False
EUS_type_binary,S-100,-0.22854614154723235,-0.43034999503927945,-0.002435664987735112,0.0006948540640870007,-0.009597563987465562,0.01290349042852011,-0.22924099561131936,-0.431819283824502,-0.005781308459191247,-0.0030403228835232782,0.9374061091637457,433,1997,1.0,False
EUS_type_binary,SMA,-0.2238938683814877,-0.42456061042115656,-0.003596314266605826,-0.0027623070933804595,-0.03587515390434931,0.032324649471316885,-0.2211315612881072,-0.4209489404895803,0.0,0.012337573660900025,0.847,433,2000,1.0,False
EUS_type_binary,KI_67,-0.2635985516692807,-0.4820380668662136,-0.03412524596232919,-0.02793386116255252,-0.10478843183910654,0.054456944715550806,-0.23566469050672825,-0.4409443618107396,-0.020475251632579267,0.10597122399063577,0.415,433,2000,1.0,False
